X0,Y0,X1,Y1
0.105843,  3.228197, 0.043119,  1.315117
0.112034,  3.417031, 0.094528,  2.883111
0.172847,  5.271836, 0.177061,  5.400354
0.303496,  9.256622, 0.190327,  5.804961
0.376934,  11.496476, 0.296200,  9.034109
0.384326,  11.721947, 0.303825,  9.266650
0.393556,  12.003466, 0.305106,  9.305741
0.423603,  12.919904, 0.322999,  9.851476
0.615537,  18.773879, 0.333462,  10.170577
0.635214,  19.374027, 0.363847,  11.097320
0.655101,  19.980580, 0.493858,  15.062663
0.657915,  20.066397, 0.496383,  15.139691
0.674462,  20.571098, 0.513432,  15.659673
0.692547,  20.980768, 0.596611,  19.700540
0.856906,  33.697405, 0.621391,  21.634649
0.880127,  36.281551, 0.753408,  35.461352
0.916544,  40.633965, 0.795690,  40.918915
0.917932,  40.806791, 0.832167,  45.970315
0.979217,  48.909512, 0.834686,  46.330270
0.983920,  49.568029, 0.910088,  57.739177
