date,product,category,price,quantity
2023-11-25,A,Clothing,73.13,14
2023-12-17,D,Electronics,152.64,1
2023-10-03,A,Home,136.66,5
2023-12-11,E,Home,103.51,9
2023-10-16,A,Home,381.39,18
2023-10-01,F,Toys,347.16,17
2023-10-23,C,Clothing,347.46,6
2023-12-29,B,Toys,145.05,13
2023-12-15,B,Sports,366.46,7
2023-12-23,C,Toys,188.24,12
2023-10-17,A,Sports,365.12,11
2023-12-09,C,Clothing,107.21,7
2023-12-13,E,Groceries,180.47,12
2023-10-31,E,Toys,212.84,6
2023-11-04,E,Sports,327.82,4
2023-12-11,C,Electronics,180.15,8
2023-12-11,D,Toys,180.75,19
2023-11-12,D,Electronics,374.83,9
2023-11-15,E,Electronics,20.99,17
2023-10-02,E,Groceries,265.5,
2023-11-24,C,Groceries,466.14,1
2023-11-29,C,Electronics,281.32,8
2023-11-28,B,Toys,0,7
2023-12-06,D,Clothing,321.6,9
2023-12-20,B,Sports,59.98,12
2023-12-03,E,Electronics,76.7,17
2023-11-10,B,Home,209.5,15
2023-12-14,F,Toys,143.79,11
2023-12-05,F,Sports,0,0
2023-11-10,E,Sports,479.09,4
2023-10-01,C,Clothing,338.03,18
2023-11-06,E,Groceries,103.9,9
2023-11-13,F,Groceries,488.7,1
2023-10-20,C,Sports,56.9,8
2023-10-03,D,Clothing,461.16,16
2023-12-14,C,Sports,186.96,9
2023-12-25,F,Home,340.36,7
2023-10-15,D,Home,436.07,17
2023-10-08,C,Clothing,462.01,3
2023-10-07,A,Groceries,158.14,18
2023-10-27,B,Clothing,184.88,13
2023-10-27,F,Toys,6.43,11
2023-10-27,E,Electronics,7.66,1
2023-10-29,C,Electronics,411.06,6
2023-11-03,A,Electronics,339.22,13
2023-12-15,B,Toys,215.72,7
2023-11-20,A,Groceries,439.33,7
2023-12-23,A,Sports,66.89,18
2023-12-08,E,Electronics,5.63,2
2023-11-25,B,Sports,80.58,8
2023-10-04,C,Toys,309.86,6
2023-11-21,E,Toys,455.22,18
2023-12-21,D,Groceries,193.49,5
2023-10-04,A,Sports,63.99,5
2023-12-05,D,Groceries,184.81,4
2023-11-12,D,Toys,82.37,19
2023-12-12,D,Home,362.86,9
2023-12-17,C,Groceries,20.75,9
2023-10-24,D,Clothing,483.56,17
2023-10-04,E,Groceries,309.77,10
2023-11-13,A,Sports,13.7,1
2023-11-25,A,Sports,257.68,14
2023-11-14,B,Electronics,173.88,1
2023-10-03,A,Clothing,267.15,17
2023-10-11,F,Sports,307.78,1
2023-11-17,D,Home,363.32,7
2023-10-08,E,Groceries,234.39,17
2023-10-25,D,Groceries,145.31,11
2023-10-19,A,Electronics,393.52,6
2023-11-17,F,Electronics,382.64,5
2023-11-07,C,Toys,420.12,14
